name,Zagreb1,Zagreb2,mZagreb1,mZagreb2
CHEMBL1214737,118.0,138.0,4.666666666666667,4.805555555555555
CHEMBL1214738,132.0,154.0,6.027777777777779,5.555555555555557
CHEMBL1214739,128.0,149.0,5.777777777777779,5.222222222222223
CHEMBL1215595,116.0,135.0,6.416666666666666,5.333333333333333
CHEMBL1215596,116.0,135.0,6.416666666666666,5.333333333333334
CHEMBL1215662,104.0,121.0,5.666666666666667,4.416666666666667
CHEMBL1215663,108.0,125.0,5.916666666666667,4.666666666666667
CHEMBL1215664,108.0,125.0,5.916666666666667,4.666666666666667
CHEMBL1215665,102.0,116.0,5.055555555555555,4.444444444444445
CHEMBL1215729,116.0,131.0,6.416666666666667,5.111111111111112
CHEMBL1215730,116.0,131.0,6.416666666666667,5.111111111111112
CHEMBL1215731,112.0,128.0,6.166666666666667,4.888888888888889
CHEMBL1215732,102.0,116.0,5.055555555555555,4.444444444444445
CHEMBL131984,110.0,132.0,6.979166666666666,4.222222222222221
CHEMBL132066,116.0,141.0,7.840277777777779,4.444444444444445
CHEMBL132072,110.0,132.0,6.979166666666666,4.222222222222221
CHEMBL132380,132.0,164.0,9.291666666666668,5.305555555555555
CHEMBL132778,154.0,194.0,7.402777777777779,5.416666666666665
CHEMBL132969,140.0,177.0,8.402777777777779,5.083333333333332
CHEMBL133724,116.0,141.0,7.840277777777779,4.444444444444445
CHEMBL134169,128.0,155.0,6.680555555555555,4.5
CHEMBL134442,146.0,182.0,8.743055555555555,5.166666666666666
CHEMBL134509,120.0,144.0,5.729166666666667,4.388888888888888
CHEMBL134644,150.0,190.0,7.152777777777778,5.166666666666666
CHEMBL134748,110.0,132.0,6.979166666666666,4.222222222222221
CHEMBL135037,114.0,135.0,4.868055555555555,4.166666666666665
CHEMBL135070,124.0,152.0,8.791666666666666,4.5555555555555545
CHEMBL135095,146.0,182.0,8.743055555555555,5.166666666666666
CHEMBL135288,140.0,177.0,8.402777777777779,5.083333333333332
CHEMBL135351,140.0,177.0,8.402777777777779,5.083333333333332
CHEMBL135651,140.0,177.0,8.402777777777779,5.083333333333332
CHEMBL135772,144.0,180.0,8.652777777777779,5.3055555555555545
CHEMBL135993,138.0,173.0,7.791666666666668,5.138888888888888
CHEMBL136897,150.0,193.0,7.604166666666667,4.8055555555555545
CHEMBL136967,140.0,177.0,8.402777777777779,5.083333333333332
CHEMBL137040,144.0,180.0,8.652777777777779,5.3055555555555545
CHEMBL137063,136.0,172.0,8.152777777777779,4.749999999999998
CHEMBL137415,140.0,177.0,8.402777777777779,5.083333333333332
CHEMBL137463,136.0,172.0,8.152777777777779,4.749999999999998
CHEMBL137507,140.0,177.0,8.402777777777779,5.083333333333332
CHEMBL137616,150.0,193.0,7.604166666666667,4.8055555555555545
CHEMBL137622,136.0,172.0,8.152777777777779,4.749999999999998
CHEMBL137623,136.0,172.0,8.152777777777779,4.749999999999998
CHEMBL137651,130.0,165.0,7.291666666666666,4.6388888888888875
CHEMBL138170,150.0,187.0,9.51388888888889,5.416666666666665
CHEMBL138272,140.0,177.0,8.402777777777779,5.083333333333332
CHEMBL138580,146.0,185.0,6.902777777777779,4.888888888888888
CHEMBL1397,278.0,333.0,14.840277777777779,11.09722222222222
CHEMBL140021,150.0,193.0,7.604166666666667,4.8055555555555545
CHEMBL1490952,100.0,119.0,5.868055555555555,3.7777777777777777
CHEMBL157101,194.0,229.0,10.42361111111111,7.791666666666667
CHEMBL1682887,118.0,143.0,7.479166666666666,4.8611111111111125
CHEMBL1682888,124.0,150.0,8.340277777777777,4.972222222222223
CHEMBL1682889,128.0,153.0,8.590277777777779,5.1944444444444455
CHEMBL1682890,132.0,158.0,8.840277777777779,5.527777777777779
CHEMBL1682891,128.0,155.0,8.590277777777779,5.305555555555557
CHEMBL1682892,124.0,150.0,8.340277777777777,4.972222222222222
CHEMBL1682893,128.0,155.0,8.590277777777779,5.305555555555557
CHEMBL1682894,132.0,159.0,8.840277777777779,5.555555555555556
CHEMBL1682895,136.0,163.0,9.090277777777777,5.805555555555556
CHEMBL1682896,138.0,165.0,9.70138888888889,5.638888888888889
CHEMBL1682897,134.0,164.0,9.45138888888889,5.527777777777778
CHEMBL1682898,134.0,164.0,9.45138888888889,5.527777777777778
CHEMBL1682899,134.0,163.0,9.45138888888889,5.500000000000001
CHEMBL1682900,136.0,169.0,7.701388888888889,5.111111111111112
CHEMBL1682901,142.0,177.0,8.5625,5.305555555555556
CHEMBL1682902,136.0,168.0,7.701388888888889,5.083333333333332
CHEMBL1682903,142.0,176.0,8.5625,5.277777777777777
CHEMBL1682904,142.0,177.0,8.5625,5.305555555555556
CHEMBL1682905,142.0,177.0,8.5625,5.305555555555556
CHEMBL1761683,150.0,187.0,9.51388888888889,5.416666666666666
CHEMBL1765101,126.0,151.0,7.979166666666667,5.3611111111111125
CHEMBL1766169,116.0,139.0,6.868055555555555,4.861111111111112
CHEMBL1766170,122.0,146.0,7.729166666666666,5.027777777777778
CHEMBL1766171,122.0,146.0,7.729166666666666,5.027777777777778
CHEMBL1766172,116.0,139.0,6.868055555555555,4.861111111111112
CHEMBL1766173,126.0,151.0,7.979166666666668,5.361111111111113
CHEMBL1766174,122.0,146.0,7.729166666666666,5.027777777777779
CHEMBL1766175,122.0,146.0,7.729166666666666,5.027777777777779
CHEMBL1766176,136.0,161.0,9.090277777777779,5.6944444444444455
CHEMBL1766177,136.0,161.0,9.090277777777779,5.6944444444444455
CHEMBL1766178,136.0,163.0,9.090277777777779,5.805555555555556
CHEMBL1766179,144.0,173.0,10.041666666666666,5.902777777777779
CHEMBL1766180,140.0,166.0,9.340277777777779,6.027777777777779
CHEMBL1766181,116.0,139.0,6.868055555555555,4.861111111111112
CHEMBL1766182,136.0,161.0,9.090277777777779,5.6944444444444455
CHEMBL1766183,126.0,147.0,7.979166666666667,5.1944444444444455
CHEMBL1766184,130.0,153.0,8.229166666666666,5.5694444444444455
CHEMBL1766185,142.0,171.0,7.590277777777779,5.611111111111113
CHEMBL1766186,118.0,136.0,7.027777777777779,5.083333333333335
CHEMBL1766187,136.0,161.0,9.090277777777779,5.6944444444444455
CHEMBL1766188,136.0,161.0,9.090277777777779,5.6944444444444455
